project_id,title,status,project_link,candidate_image_url,local_path,note
360,Faraday's Law,downloaded,https://www.instructables.com/Aantoning-Van-De-Wet-Van-Faraday-Voor-VWO-6/,https://www.instructables.com/Aantoning-Van-De-Wet-Van-Faraday-Voor-VWO-6/#step6,data/media/faraday-s-law/faraday-s-law-03-b4e7a39d.jpg,score=6
361,Flight simulator,skipped,,,,no instructables project_link
362,Gauss Cannon,downloaded,https://www.instructables.com/Gauss-Cannon/,https://www.instructables.com/Gauss-Cannon/#step9,data/media/gauss-cannon/gauss-cannon-01-a0c716a1.jpg,score=12
362,Gauss Cannon,downloaded,https://www.instructables.com/Gauss-Cannon/,https://www.instructables.com/Gauss-Cannon/#step8,data/media/gauss-cannon/gauss-cannon-02-27b1a3f0.jpg,score=12
362,Gauss Cannon,downloaded,https://www.instructables.com/Gauss-Cannon/,https://www.instructables.com/Gauss-Cannon/#step7,data/media/gauss-cannon/gauss-cannon-03-3029400d.jpg,score=12
363,Gear Box,no-match,https://www.instructables.com/DEF-Schakeldoos-Groep-26,,,"19 candidates, none above threshold"
364,Gear Setup,no-match,https://www.instructables.com/Versnelling-Opstelling/,,,"16 candidates, none above threshold"
365,"Height, Speed and Path visualiser",skipped,,,,no instructables project_link
366,High pressure rotation,skipped,,,,no instructables project_link
367,Hot Wheels Track,no-match,https://www.instructables.com/DEF-Groep-38-2025-Spoelhotwheelsbaan/,,,"19 candidates, none above threshold"
368,Humidity checker,skipped,,,,no instructables project_link
369,Magneetzweeftrein,downloaded,https://www.instructables.com/Magneetzweeftrein-DEF-Groepje-33/,https://www.instructables.com/Magneetzweeftrein-DEF-Groepje-33/#step6,data/media/magneetzweeftrein/magneetzweeftrein-01-25441244.jpg,score=6
369,Magneetzweeftrein,downloaded,https://www.instructables.com/Magneetzweeftrein-DEF-Groepje-33/,https://www.instructables.com/Magneetzweeftrein-DEF-Groepje-33/#step5,data/media/magneetzweeftrein/magneetzweeftrein-02-1643ca8f.jpg,score=6
369,Magneetzweeftrein,downloaded,https://www.instructables.com/Magneetzweeftrein-DEF-Groepje-33/,https://www.instructables.com/Magneetzweeftrein-DEF-Groepje-33/#step4,data/media/magneetzweeftrein/magneetzweeftrein-03-8f49986c.jpg,score=6
370,Induced currrent turns on light,skipped,https://www.youtube.com/watch?v=8vL--JVeuTM&t=29s,,,no instructables project_link
371,Induction Plate Using Permanent Magnets,downloaded,https://www.instructables.com/Induction-Plate-Using-Permanent-Magnets/,https://www.instructables.com/Induction-Plate-Using-Permanent-Magnets/#step4,data/media/induction-plate-using-permanent-magnets/induction-plate-using-permanent-magnets-01-4c5d4811.jpg,score=30
371,Induction Plate Using Permanent Magnets,downloaded,https://www.instructables.com/Induction-Plate-Using-Permanent-Magnets/,https://www.instructables.com/Induction-Plate-Using-Permanent-Magnets/#step3,data/media/induction-plate-using-permanent-magnets/induction-plate-using-permanent-magnets-02-1cc51966.jpg,score=30
371,Induction Plate Using Permanent Magnets,downloaded,https://www.instructables.com/Induction-Plate-Using-Permanent-Magnets/,https://www.instructables.com/Induction-Plate-Using-Permanent-Magnets/#step2,data/media/induction-plate-using-permanent-magnets/induction-plate-using-permanent-magnets-03-b859ac7b.jpg,score=30
372,Infrared Camera,downloaded,https://www.instructables.com/Infrarood-Camera/,https://www.instructables.com/Infrarood-Camera/#step7,data/media/infrared-camera/infrared-camera-01-e3e6b8ee.jpg,score=6
372,Infrared Camera,downloaded,https://www.instructables.com/Infrarood-Camera/,https://www.instructables.com/Infrarood-Camera/#step6,data/media/infrared-camera/infrared-camera-02-5b7cc18b.jpg,score=6
372,Infrared Camera,downloaded,https://www.instructables.com/Infrarood-Camera/,https://www.instructables.com/Infrarood-Camera/#step5,data/media/infrared-camera/infrared-camera-03-5e3304ef.jpg,score=6
373,Joystick,downloaded,https://www.instructables.com/Joystick-1/,https://www.instructables.com/Joystick-1/#step9,data/media/joystick/joystick-01-95dda3f4.jpg,score=106
373,Joystick,downloaded,https://www.instructables.com/Joystick-1/,https://www.instructables.com/Joystick-1/#step8,data/media/joystick/joystick-02-e920a28e.jpg,score=106
373,Joystick,downloaded,https://www.instructables.com/Joystick-1/,https://www.instructables.com/Joystick-1/#step7,data/media/joystick/joystick-03-520f52c9.jpg,score=106
